Date Added,Company,Website,Category,Region,Est. MRR Range,Revenue Confidence (0-100),Signals Used,Funding Status,Team Size,Source,X Handle,X Active,LinkedIn,Instagram,Discord,Email,Founder,Founder X,Founder LinkedIn,In-House Creative?,Fit Reasoning
2026-07-12,Plausible Analytics,https://plausible.io,SaaS,Europe,$250k+,95,"Self-reported: $3.1M ARR, fully bootstrapped (founder blog/interviews); Own X (Apr 2026): 17,000+ paying subscribers; Product age 7 years (founded 2019); Team ~8-10 (self-described 'intentionally small')","bootstrapped (no investors, founder-stated)",~10,foundersignal,PlausibleHQ,TRUE,,,,,Marko Saric (Co-founder),markosaric,,none,"Open-source GA alternative; loud bootstrapped ethos; X active (own post Apr 2026); founder-led, no creative hires"
2026-07-12,Tally,https://tally.so,SaaS,Europe,$330k+,95,"Self-reported: $4M ARR fully bootstrapped (own blog, 2025); 500,000+ users (own blog); Team of 5 (own blog); Product age 6 years (2020)","bootstrapped (founder-stated, $0 raised)",5,indiehackers,TallyForms,TRUE,,,,,Marie Martens (Co-founder),MarieMartens,,none,Free-form builder at $4M ARR with 5 people; founder X active May 2026 (builds in public); zero creative hires
2026-07-12,TxtCart,https://txtcartapp.com,SaaS,US,$150k-250k,85,"Founder X: crossed $1M ARR bootstrapped, later 'approaching $3M' with 6 people; StarterStory: $1M ARR, team 7, $30k startup cost; Product age 7 years (2019)",bootstrapped (founder-stated),6,shopify,TxtCart,TRUE,,,,,Kyle Bigley (Founder & CEO),kylebigley,,none,"AI SMS for Shopify; founder posts revenue publicly and constantly (Feb 2026 indexed); 6-person team, no creative hires"
2026-07-12,Balsamiq,https://balsamiq.com,Tech/Software,US,$800k+,95,"Reported $10.6M revenue for 2024 ($883k/month); 38 employees, independent since 2008; No funding records (self-funded, founder-owned); Product age 18 years",bootstrapped (independent since 2008),38,foundersignal,balsamiq,TRUE,,,,support@balsamiq.com,Giacomo 'Peldi' Guilizzoni (Founder & CEO),peldi,,unknown,"Wireframing tool, 18 yrs profitable and independent; X active Mar 2026 (AI prototyping launch); founder-led"
2026-07-12,Gravity Forms (Rocketgenius),https://www.gravityforms.com,Tech/Software,US,$1M+ (est.),85,"ZoomInfo modeled revenue ~$20.7M/yr; Team 30+, 16 years in business, fully remote (Virginia Beach); No funding/investor records on Crunchbase or PitchBook; WordPress ecosystem staple since 2009",bootstrapped (no funding records after 16 years),30+,wordpress,gravityforms,TRUE,https://www.linkedin.com/company/rocketgenius,,,,Carl Hancock (Co-founder & CEO),carlhancock,,unknown,"#1 paid WP forms plugin; X CONFIRMED active Jun 23 2026 (Klaviyo add-on launch); private, founder-owned"
2026-07-12,MemberPress (Caseproof),https://memberpress.com,Tech/Software,US,$1M+,90,"Reported revenue $14.1M with 21 employees; Bootstrapped since 2004 (Caseproof LLC, Utah); Customers have earned $1B+ via the plugin (own claim); Portfolio: MemberPress, MemberMouse, WishList Member, AccessAlly, Pretty Links","bootstrapped (client-work funded, no investors)",21,wordpress,memberpress,TRUE,,,,,Blair Williams (Founder & CEO),,https://www.linkedin.com/in/blairwilliams/,unknown,"#1 WP membership plugin, $14M rev with 21 people; X active Apr 2026 (ClubConnect launch); acquiring competitors — growth budget exists"
2026-07-12,Judge.me,https://judge.me,SaaS,UK,$900k+,95,"Latka: $11.2M revenue 2024 (up from $8M 2023), bootstrapped; 600k+ active merchants (Shopify reviews app); 65 employees; marketing team of 1 (Latka); Founded 2015",bootstrapped (no funding records),65,shopify,judgedotme,TRUE,,,,,PJ Celis (Founder),celispj,,none,"$11M/yr with marketing team of 1 — exactly our gap; founder X active May 2026 (homepage relaunch); brand refresh done recently, appetite for creative"
2026-07-12,Buzzsprout (Higher Pixels),https://www.buzzsprout.com,SaaS,US,$450k+,90,"Latka: $5.6M ARR 2024 (up from $3.4M 2023), no funding reported; 100,000+ podcasters on platform (own claim); 52 employees, remote-first (Jacksonville FL); Founded 2009",bootstrapped (no funding reported),52,producthunt,buzzsprout,TRUE,,,,,Tom Rossi (Co-founder),,,unknown,"Top indie podcast host, stable bootstrapped 15+ yrs; X active Feb 2026; serves creators — values good content"
2026-07-12,Fathom Analytics,https://usefathom.com,SaaS,Canada,$50k-150k,60,"Thousands of paying customers, billions of pageviews (own about page); Bootstrapped, zero investors (own statements); StarterStory: grew 70% in a year; Product age 8 years; V4 + API V2 shipping 2026","bootstrapped (customer-funded, zero investors)",~5-10,foundersignal,usefathom,TRUE,,,,,Jack Ellis (Founder & CEO (sole owner since Dec 2024)),,https://www.linkedin.com/in/thejackellis/,none,X CONFIRMED active Jun 18 2026 (API V2 docs); no exact revenue published — confidence at the 60 bar with 4 named signals
2026-07-12,Chatbase,https://www.chatbase.co,AI tools,Canada,$700k+,95,"Founder X (Dec 2025): crossed $8M ARR, 100% bootstrapped; $9M ARR reported 2026; 10,000+ customers; 30-person team (Toronto), $0 raised; Founded 2023, profitable","bootstrapped (founder-stated, $0 raised)",30,foundersignal,chatbase,TRUE,,,,,Yasser Elsaid (Founder & CEO),yasser_elsaid_,,unknown,"AI agents platform growing fast on zero funding; founder highly active on X (Jan 2026 indexed, posts weekly); launch-video-shaped roadmap"
2026-07-12,Publer,https://publer.com,SaaS,Europe,$200k+,85,"Own blog: $0 to $3M ARR story; Latka $2.4M 2024; 520,000+ users, 13.3k customers; 100% bootstrapped, 15+ team (Albania); Founded 2012",bootstrapped (founder-stated),15+,foundersignal,publer,TRUE,,,,,Ervin Kalemi (Founder & CEO),,,none,"Social scheduler at ~$3M ARR; X active May 2026 (Zapier/MCP launches); lean team, founder-led"
2026-07-12,SignWell,https://www.signwell.com,SaaS,US,$400k+,90,Latka: $5M revenue 2024 with 7-person team; Bootstrapped (founder also bootstrapped Bidsketch before); 10M+ documents signed; Founded ~2020,bootstrapped,7,foundersignal,SignWellApp,TRUE,,,,,Ruben Gamez (Founder (promoted COO to CEO 2025)),earthlingworks,,none,E-signature at $5M/7 people; founder X active Feb 2026 (SignWell MCP demo); zero creative staff
2026-07-12,ContentStudio,https://contentstudio.io,SaaS,US,$240k+,85,"Latka: $2.9M revenue 2024 (up from $1.5M 2023), bootstrapped; 38 employees; Founded 2017; No funding records (Crunchbase/PitchBook)",bootstrapped (no VC),38,foundersignal,ContentStudioio,TRUE,,,,,,,,unknown,Content/social mgmt platform doubling YoY; X active Apr-May 2026 (integration launches); no funding
2026-07-12,Barn2 Plugins,https://barn2.com,Tech/Software,UK,$100k+,80,"Reported $100k+/month revenue (founder interviews/press); Product age: company founded 2009, plugin business since 2016; Small team; Sep 2025 hiring was for a Marketing Specialist (no creative roles); Expanding into Shopify apps (new app launched Sep 2025)","bootstrapped (husband-and-wife founded, no investors)",~10,wordpress,Barn2Plugins,TRUE,,,,,Katie Keith (Co-founder & CEO),KatieKeithBarn2,,none,"X activity inferred: dense weekly posting through Sep-Oct 2025 indexed (index lag), actively shipping new Shopify app; CEO very visible in WP community"
2026-07-12,Zipify Apps,https://zipify.com,SaaS,US,$300k+ (est.),65,"18,000 Shopify brands use Zipify apps (own claim); $600M+ in upsell revenue generated for users; ~$1.7M/day processed; Founded 2016; Built for Shopify badge (2025); No funding records — self-funded by founder's e-commerce profits",bootstrapped (self-funded from founder's e-commerce brands),~20-30,shopify,zipifyapps,TRUE,https://www.linkedin.com/company/zipify,,,,Ezra Firestone (Founder & CEO),ezrafirestone,,one (team includes social media manager + copywriter; no video/motion roles found),"X activity inferred: company + founder posting through Aug-Sep 2025 indexed; founder is a marketing-education figure — receptive buyer, deprioritized for the one creative-adjacent hire"
