Date Added,Company,Website,Category,Region,Est. MRR Range,Revenue Confidence (0-100),Signals Used,Funding Status,Team Size,Source,X Handle,X Active,LinkedIn,Instagram,Discord,Email,Founder,Founder X,Founder LinkedIn,In-House Creative?,Fit Reasoning
2026-07-14,TypingMind,https://www.typingmind.com,AI tools,Other,$130-160k,85,"Founder-public revenue: ~$1.6-1.9M ARR (Tony Dinh's build-in-public updates); Team of ~3, solo-founder-led; Bootstrapped, $0 raised; Launched 2023, sustained growth trail publicly documented","bootstrapped ($0 raised, solo founder)",3,indiehackers,tdinh_me,TRUE,,,,,Tony Dinh (Founder),tdinh_me,,none,"Best-in-class ChatGPT UI wrapper; founder @tdinh_me X confirmed active (Jan 2026 indexed posts, dense build-in-public poster) — founder IS the channel"
2026-07-14,Bannerbear,https://www.bannerbear.com,SaaS,Other,$83k+,70,"$1M ARR reached Sep 2025 (IdeaIndex profile; supersedes older $50k/mo StarterStory figure); Founder Jon Yongfook's public build-in-public revenue trail; Bootstrapped, $0 raised, solo founder + small team; Product age 6 years (founded 2019)",bootstrapped ($0 raised),2-4,indiehackers,bannerbear,FALSE,,,,,Jon Yongfook (Founder & CEO),yongfook,,none,"Image-generation API for marketing automation; founder @yongfook X active ~May 2026 indexed — previously rejected on a stale $50k/mo figure, requalified on the Sep 2025 $1M ARR milestone"
2026-07-14,SerpApi,https://serpapi.com,SaaS,US,$250k+,75,"Latka: ~$3M+ revenue; 27-35 employees (LinkedIn), Austin TX; Bootstrapped, profit-sharing company (own statements, no funding records); Product age 8+ years, developer-facing search API","bootstrapped (profit-sharing, no VC)",27-35,g2,serpapi,TRUE,,,,,Julien Khaleghy (Founder & CEO),,,unknown,Search-results API; activity inferred via 2026 developer-conference sponsorships + maintained X presence (index lag on exact dates)
2026-07-14,Buy Me a Coffee,https://buymeacoffee.com,SaaS,UK,$400k+,80,"~$4.9M ARR (Latka/press); Only outside money: Y Combinator (~$500k) — lightly funded, quiet for years; ~30 staff, London; 1M+ creators on platform; founded 2018","lightly funded (YC ~$500k only, no rounds since)",~30,producthunt,buymeacoffee,TRUE,,,,,Jijo Sunny (Co-founder & CEO),,,unknown,"Creator monetization platform (donations/memberships — halal-clean, not lending); X CONFIRMED active Jun 2026"
2026-07-14,Flexibits,https://flexibits.com,Tech/Software,US,$115k+,70,"~$1.4M revenue (Latka); 13 employees; Bootstrapped since 2011, no funding records; Fantastical is a category-leading Apple-platform calendar app, 14 years old","bootstrapped (no funding records, 14 years)",13,producthunt,flexibits,TRUE,,,,,Michael Simmons (Co-founder & CEO),,,unknown,Maker of Fantastical (calendar) and Cardhop; X posting dense through Sep 2025 indexed — inferred active (index lag)
2026-07-14,Podbean,https://www.podbean.com,SaaS,US,$540k+,80,~$6.5M revenue (Latka); Bootstrapped since 2006 — no funding records in 19 years; Millions of podcasters hosted; top-10 podcast host by market share; Team ~30-40 (LinkedIn),bootstrapped (since 2006),~30-40,g2,podbeancom,TRUE,,,,,David Xu (Co-founder & CEO),,,unknown,Podcast hosting + monetization platform; X CONFIRMED active (2026-indexed posts)
2026-07-14,Sellfy,https://sellfy.com,SaaS,Europe,$260k+,80,"~$3.1M revenue (Latka); 28 employees, Riga Latvia; Bootstrapped (only a small early accelerator cheque, quiet 10+ years); 60,000+ creators sell through it; founded 2011","bootstrapped/lightly funded (tiny early accelerator only, quiet 10+ years)",28,producthunt,sellfy,TRUE,,,,,Maris Dagis (Co-founder & CEO),,,unknown,E-commerce for creators (digital products/print-on-demand); X posting dense through Aug-Sep 2025 indexed — inferred active (index lag)
2026-07-14,Invoice Ninja,https://invoiceninja.com,SaaS,US,$130k+ (est.),65,"~$1.6M revenue est. (Latka); 8 staff, bootstrapped, open-source + hosted SaaS model; 200,000+ businesses use it; founded 2014; No funding records (Crunchbase/PitchBook)",bootstrapped (no funding records),8,capterra,invoiceninja,TRUE,,,,,Shalom Stark (Co-founder & CEO),,,none,"Open-source invoicing (invoicing tool, not lending — halal-clean); X CONFIRMED active Jun/Jul 2026 (tweet ID 2074099358316871785 decodes to ~Jul 2026)"
2026-07-14,Flodesk,https://flodesk.com,SaaS,US,$3M (ARR $36M),85,"$36M ARR, profitable (founder-public via press/podcasts); ~50 staff but marketing team of 1 (founder-stated); Bootstrapped: only a small pre-seed (~$500k range), no VC rounds since 2019; 100k+ paying customers; founded 2018","lightly funded (small pre-seed only, quiet 6+ years, profitable)",~50,foundersignal,flodesk,FALSE,,flodesk,,,Martha Bitar (Co-founder & CEO),,,"one (design-forward brand, but founder-stated marketing team of 1)",Email marketing for creatives — biggest-budget lead of the run; Instagram @flodesk (92K followers) actively maintained (inferred) — IG is their audience's channel; deprioritized one notch for design-led brand
2026-07-14,Ecamm,https://www.ecamm.com,Tech/Software,US,$400k+,80,"~$5M/yr revenue (Latka); 11 employees; Bootstrapped since 2002 — 24 years, no funding records; Ecamm Live is the leading Mac live-streaming studio; runs annual paid Creator Camp conference",bootstrapped (since 2002),11,producthunt,ecammtweets,TRUE,,,,,Ken Aspeslagh (Co-founder),,,one (community/content producers for The Flow — video-native company),"Mac live-streaming/video software for creators — perfect motion-design buyer; X posting steadily (indexed thru Jul 2025, index lag) + actively promoting Creator Camp 2026 (Sep 28-30, Portsmouth NH) — inferred active; deprioritized one notch as video-native"
